#_vs_4cold3bet(OOPA)	36/85
#_vs_4cold3bet(OOPD)	28.5/90
#_vs_4cold4bet	61.7/75.9
#_vs_callcold3bet_EPraise(OOPA)	53.8/77.1
#_vs_callcold3bet_EPraise(OOPD)	60/75
3BET_#_vs_4callcold3bet4bet_EPfold	85.5/65
EP_BTN_vs_2sqz3bet(SB,BB)<>X		24.5/89.0
EP_CO_vs_2sqz3bet(BTN,BB)<>X		30.8/86.0
EP_CO_vs_2sqz3bet(BTN,SB)<>X		28.3/87.5
EP_CO_vs_2sqz3bet(SB,BB)<>X		24.3/89.0
EP_HJ_vs_2sqz3bet(BTN,BB)<>X		29.5/86.5
EP_HJ_vs_2sqz3bet(BTN,SB)<>X		29.0/87.0
EP_HJ_vs_2sqz3bet(CO,BB)<>X		29.5/86.5
EP_HJ_vs_2sqz3bet(CO,BTN)<>X		22.5/90.5
EP_HJ_vs_2sqz3bet(CO,SB)<>X		29.0/87.0
EP_HJ_vs_2sqz3bet(SB,BB)<>X		24.0/89.0
EP_UTG_vs_2sqz3bet(BTN,BB)<>X		30.5/86.0
EP_UTG_vs_2sqz3bet(BTN,SB)<>X		29.0/87.0
EP_UTG_vs_2sqz3bet(CO,BB)<>X		30.5/86.0
EP_UTG_vs_2sqz3bet(CO,BTN)<>X		22.5/90.5
EP_UTG_vs_2sqz3bet(CO,SB)<>X		27.0/88.0
EP_UTG_vs_2sqz3bet(HJ,BB)<>X		31.0/86.0
EP_UTG_vs_2sqz3bet(HJ,BTN)<>X		24.0/90.0
EP_UTG_vs_2sqz3bet(HJ,CO)<>X		24.0/90.0
EP_UTG_vs_2sqz3bet(HJ,SB)<>X		27.5/88.0
EP_UTG_vs_2sqz3bet(SB,BB)<>X		24.0/89.0

LP_BTN_vs_2sqz3bet_EPfold(CO,BB)<>X		30.8/86.0
LP_BTN_vs_2sqz3bet_EPfold(CO,SB)<>X		28.3/87.5
LP_BTN_vs_2sqz3bet_EPfold(HJ,BB)<>X		29.5/86.5
LP_BTN_vs_2sqz3bet_EPfold(HJ,SB)<>X		29.0/87.0
LP_BTN_vs_2sqz3bet_EPfold(UTG,BB)<>X		30.5/86.0
LP_BTN_vs_2sqz3bet_EPfold(UTG,SB)<>X		29.0/87.0
LP_CO_vs_2sqz3bet_EPfold(HJ,BB)<>X		29.5/86.5
LP_CO_vs_2sqz3bet_EPfold(HJ,BTN)<>X		22.5/90.5
LP_CO_vs_2sqz3bet_EPfold(HJ,SB)<>X		29.0/87.0
LP_CO_vs_2sqz3bet_EPfold(UTG,BB)<>X		30.5/86.0
LP_CO_vs_2sqz3bet_EPfold(UTG,BTN)<>X		22.5/90.5
LP_CO_vs_2sqz3bet_EPfold(UTG,SB)<>X		27.0/88.0
LP_HJ_vs_2sqz3bet_EPfold(UTG,BB)<>X		31.0/86.0
LP_HJ_vs_2sqz3bet_EPfold(UTG,BTN)<>X		24.0/90.0
LP_HJ_vs_2sqz3bet_EPfold(UTG,CO)<>X		24.0/90.0
LP_HJ_vs_2sqz3bet_EPfold(UTG,SB)<>X		27.5/88.0
LP_SB_vs_2sqz3bet_EPfold(BTN,BB)<>X		24.5/88.0
LP_SB_vs_2sqz3bet_EPfold(CO,BB)<>X		24.3/88.0
LP_SB_vs_2sqz3bet_EPfold(HJ,BB)<>X		24.0/88.0
LP_SB_vs_2sqz3bet_EPfold(UTG,BB)<>X		24.0/88.0

BB_vs_cold3bet(CO,BTN)<>X		17.8/92.5
BB_vs_cold3bet(CO,SB)<>X		25.3/88.5
BB_vs_cold3bet(HJ,BTN)<>X		18.0/92.5
BB_vs_cold3bet(HJ,CO)<>X		18.0/92.5
BB_vs_cold3bet(HJ,SB)<>X		24.0/89.0
BB_vs_cold3bet(SB,BB)<>X		26.5/88.0
BB_vs_cold3bet(UTG,BTN)<>X		18.0/92.5
BB_vs_cold3bet(UTG,CO)<>X		18.0/92.5
BB_vs_cold3bet(UTG,HJ)<>X		18.0/92.5
BB_vs_cold3bet(UTG,SB)<>X		24.5/89.0
BTN_vs_cold3bet(HJ,CO)<>X		16.5/93.5
BTN_vs_cold3bet(UTG,CO)<>X		19.0/92.5
BTN_vs_cold3bet(UTG,HJ)<>X		21.0/91.5
CO_vs_cold3bet(UTG,HJ)<>X		19.0/92.5
SB_vs_cold3bet(CO,BTN)<>X		18.3/92.5
SB_vs_cold3bet(HJ,BTN)<>X		18.5/92.5
SB_vs_cold3bet(HJ,CO)<>X		18.5/92.5
SB_vs_cold3bet(UTG,BTN)<>X		18.5/92.5
SB_vs_cold3bet(UTG,CO)<>X		18.5/92.5
SB_vs_cold3bet(UTG,HJ)<>X		18.5/92.5

